iter	RMSE
0	75977.17595
1	74136.32325
2	72184.95241
3	70223.60744
4	68493.61479
5	66670.77461
6	65061.74641
7	63484.18241
8	61949.51586
9	60310.84352
10	58764.67531
11	57299.62112
12	55872.69135
13	54606.31594
14	53318.44236
15	52090.32449
16	50785.88674
17	49606.18687
18	48455.20072
19	47414.8222
20	46376.04838
21	45437.49389
22	44505.57462
23	43678.07312
24	42929.36195
25	42172.81983
26	41414.53459
27	40576.8129
28	39922.57704
29	39198.18474
30	38517.95839
31	37864.76197
32	37170.06027
33	36637.26101
34	36008.55303
35	35414.20586
36	34809.30094
37	34257.01123
38	33744.11274
39	33211.06591
40	32743.19391
41	32317.8219
42	31947.83107
43	31557.5449
44	31151.0347
45	30826.72612
46	30387.90041
47	29979.57648
48	29575.69115
49	29238.00697
50	28900.37842
51	28540.7451
52	28208.43985
53	27909.91116
54	27628.46536
55	27319.45247
56	27018.27623
57	26731.15455
58	26485.26316
59	26216.32017
60	25933.81232
61	25711.59708
62	25468.9657
63	25335.96161
64	25124.18246
65	24880.45377
66	24639.8707
67	24475.62472
68	24280.91903
69	24100.83615
70	23951.31193
71	23785.54194
72	23585.88138
73	23453.24622
74	23324.8184
75	23157.6547
76	23006.60973
77	22850.75204
78	22721.46779
79	22607.24211
80	22471.4259
81	22346.71237
82	22243.88689
83	22140.45602
84	22043.75227
85	21899.82866
86	21803.04559
87	21714.98571
88	21617.91961
89	21518.33656
90	21404.90009
91	21296.73055
92	21216.21669
93	21105.84346
94	21021.82941
95	20944.83831
96	20871.46447
97	20788.64229
98	20724.95684
99	20622.16379
100	20541.44256
101	20445.43507
102	20369.89484
103	20309.10413
104	20227.48708
105	20166.56504
106	20098.01569
107	20043.55142
108	19948.59307
109	19887.03386
110	19827.92176
111	19751.49505
112	19685.61299
113	19638.25757
114	19575.38189
115	19528.88349
116	19477.05635
117	19414.56696
118	19354.40414
119	19291.48959
120	19230.63444
121	19155.10694
122	19098.89587
123	19037.09378
124	18984.7915
125	18921.22144
126	18877.5732
127	18835.83262
128	18782.87245
129	18715.64793
130	18669.57824
131	18637.78152
132	18596.73038
133	18539.88309
134	18493.54354
135	18442.02048
136	18379.1011
137	18332.98407
138	18274.22605
139	18223.80316
140	18185.38498
141	18140.45551
142	18095.8631
143	18040.57678
144	18012.23566
145	17979.73685
146	17918.78981
147	17881.29918
148	17855.01195
149	17814.36126
150	17767.66021
151	17726.70676
152	17684.38778
153	17648.40836
154	17607.25351
155	17561.75677
156	17530.32661
157	17501.80698
158	17450.42483
159	17424.5254
160	17389.44929
161	17349.56278
162	17306.44894
163	17281.84678
164	17244.56393
165	17210.65128
166	17182.60025
167	17145.64637
168	17103.65904
169	17077.32253
170	17038.79794
171	16990.9866
172	16942.49255
173	16904.62869
174	16874.43078
175	16830.97479
176	16805.64939
177	16751.69104
178	16712.74446
179	16683.24655
180	16664.00713
181	16634.54467
182	16587.95053
183	16561.06694
184	16535.81869
185	16498.43361
186	16437.15382
187	16421.02168
188	16386.00059
189	16347.4047
190	16300.38043
191	16259.90211
192	16228.71781
193	16190.73042
194	16149.35925
195	16129.76992
196	16107.89568
197	16082.03376
198	16044.68324
199	15994.55283
200	15959.54914
201	15936.97989
202	15899.11177
203	15880.46937
204	15853.06552
205	15826.84259
206	15808.46586
207	15780.58627
208	15719.0121
209	15695.61416
210	15685.56096
211	15667.53131
212	15648.78312
213	15609.49609
214	15568.0556
215	15539.39172
216	15513.77763
217	15476.21983
218	15448.68843
219	15413.20778
220	15403.72644
221	15379.23145
222	15363.60184
223	15350.57774
224	15305.56692
225	15270.89491
226	15247.3941
227	15209.41686
228	15199.05007
229	15190.10772
230	15160.21236
231	15152.37346
232	15140.77495
233	15112.59556
234	15079.09418
235	15037.40724
236	15013.11716
237	14991.54884
238	14955.18441
239	14946.31504
240	14939.40582
241	14905.7579
242	14865.51271
243	14833.77834
244	14801.23924
245	14773.20355
246	14740.09536
247	14710.82965
248	14687.2731
249	14676.80641
250	14661.73071
251	14643.53599
252	14606.27155
253	14587.90059
254	14553.03456
255	14522.56234
256	14510.72465
257	14484.27628
258	14471.7443
259	14445.17818
260	14438.61126
261	14412.0962
262	14401.38051
263	14367.34999
264	14357.05977
265	14321.31363
266	14299.1006
267	14249.75461
268	14207.77118
269	14199.45862
270	14190.06786
271	14138.92575
272	14108.51127
273	14080.52319
274	14047.27094
275	14006.96691
276	13996.24067
277	13991.48998
278	13962.95055
279	13935.59608
280	13906.84255
281	13875.66945
282	13848.1864
283	13809.46979
284	13781.18789
285	13755.10329
286	13717.53144
287	13684.11756
288	13676.2736
289	13646.1288
290	13618.16551
291	13613.60481
292	13578.77518
293	13569.49084
294	13548.97034
295	13523.24242
296	13488.70419
297	13481.4435
298	13477.69218
299	13473.70482
300	13452.95993
301	13432.67748
302	13427.19507
303	13397.07791
304	13371.34662
305	13345.17529
306	13325.75233
307	13315.55234
308	13304.48422
309	13281.00041
310	13270.51875
311	13244.33201
312	13240.37121
313	13218.75257
314	13197.91291
315	13169.14298
316	13164.31767
317	13130.67754
318	13103.69032
319	13078.1078
320	13051.34142
321	13028.78519
322	12994.8851
323	12968.37064
324	12952.15418
325	12947.34132
326	12933.2382
327	12928.64943
328	12893.72475
329	12876.33749
330	12856.02404
331	12830.58814
332	12814.49873
333	12810.94
334	12797.76232
335	12790.59319
336	12786.74557
337	12773.58863
338	12746.08091
339	12741.94909
340	12722.165
341	12710.95811
342	12690.98493
343	12661.25992
344	12634.89203
345	12597.5844
346	12572.32173
347	12568.59421
348	12542.89134
349	12526.29736
350	12504.27083
351	12478.9283
352	12445.66412
353	12436.36865
354	12418.40987
355	12383.56692
356	12356.69046
357	12350.67648
358	12342.95967
359	12320.10325
360	12317.6509
361	12314.69403
362	12311.46522
363	12293.60603
364	12274.37318
365	12244.55051
366	12224.58171
367	12203.25667
368	12183.50771
369	12162.32283
370	12142.84834
371	12122.44976
372	12116.07111
373	12113.2313
374	12080.75063
375	12077.78907
376	12066.71775
377	12047.56722
378	12018.12608
379	11989.72944
380	11971.07401
381	11952.35372
382	11941.0405
383	11915.37329
384	11897.58785
385	11875.92303
386	11848.34237
387	11837.35987
388	11835.14648
389	11817.82346
390	11804.26032
391	11778.11181
392	11776.01201
393	11740.55725
394	11707.51808
395	11683.97488
396	11676.84379
397	11669.31088
398	11646.13183
399	11639.85023
400	11637.16675
401	11613.65713
402	11610.95183
403	11587.26862
404	11567.23112
405	11549.68634
406	11526.89131
407	11523.36595
408	11512.01141
409	11485.06065
410	11480.43532
411	11460.09842
412	11444.83204
413	11426.95954
414	11412.69515
415	11395.11037
416	11369.00302
417	11360.38789
418	11340.12306
419	11337.9028
420	11318.74904
421	11299.22856
422	11297.2486
423	11275.05112
424	11264.86222
425	11262.59093
426	11238.222
427	11231.20994
428	11213.42404
429	11195.34437
430	11170.47054
431	11150.64422
