iter	Passed	Remaining
0	3	3885
1	7	3619
2	11	3777
3	14	3546
4	18	3592
5	22	3651
6	25	3676
7	28	3552
8	31	3494
9	35	3525
10	39	3536
11	42	3470
12	44	3381
13	46	3298
14	49	3252
15	53	3270
16	56	3240
17	58	3200
18	61	3163
19	63	3126
20	66	3099
21	69	3069
22	71	3054
23	74	3037
24	77	3020
25	80	3011
26	83	2998
27	86	3015
28	89	3009
29	92	3000
30	96	3018
31	100	3046
32	104	3052
33	106	3036
34	108	3004
35	111	2980
36	114	2986
37	118	2990
38	120	2975
39	122	2950
40	125	2928
41	127	2908
42	130	2908
43	134	2911
44	136	2902
45	139	2883
46	141	2866
47	143	2850
48	146	2838
49	148	2829
50	151	2812
51	153	2794
52	155	2778
53	157	2763
54	160	2762
55	162	2745
56	165	2730
57	167	2715
58	169	2705
59	171	2694
60	175	2695
61	177	2685
62	179	2673
63	180	2640
64	182	2627
65	185	2620
66	187	2609
67	190	2605
68	192	2596
69	193	2577
70	196	2566
71	198	2561
72	201	2556
73	203	2549
74	206	2543
75	209	2541
76	212	2541
77	214	2537
78	216	2528
79	219	2521
80	221	2516
81	224	2509
82	226	2501
83	228	2494
84	231	2490
85	234	2494
86	240	2523
87	243	2518
88	245	2514
89	247	2507
90	250	2498
91	252	2495
92	255	2489
93	257	2481
94	260	2481
95	263	2481
96	266	2480
97	270	2491
98	276	2520
99	279	2515
100	281	2508
101	284	2506
102	288	2510
103	291	2508
104	296	2526
105	301	2539
106	303	2536
107	307	2542
108	310	2535
109	312	2530
110	316	2531
111	319	2531
112	321	2525
113	323	2516
114	325	2507
115	327	2497
116	329	2489
117	332	2486
118	335	2481
119	337	2477
120	339	2469
121	341	2461
122	343	2452
123	346	2445
124	348	2440
125	350	2433
126	352	2426
127	354	2417
128	356	2409
129	358	2401
130	360	2393
131	364	2400
132	367	2394
133	369	2386
134	371	2379
135	373	2372
136	375	2364
137	377	2358
138	380	2358
139	383	2353
140	385	2348
141	387	2343
142	390	2341
143	393	2338
144	397	2341
145	400	2341
146	403	2340
147	405	2335
148	408	2335
149	412	2335
150	415	2334
151	418	2333
152	421	2331
153	424	2331
154	427	2332
155	431	2335
156	435	2335
157	437	2330
158	440	2329
159	443	2327
160	446	2328
161	450	2330
162	452	2325
163	455	2320
164	459	2323
165	462	2323
166	465	2322
167	467	2317
168	470	2313
169	474	2316
170	478	2317
